7634023,FIR(2),FPGA(2),ASIC(2),OFDM(2)
7656958
7729281,NAV(2),ASIC(4)
7783291,GPS(15),CDMA(18),OFDM(27),TDMA(8),MIMO(3),SDR(3),RFID(4),GSM(2)
7804765
7805143,OFDM(16),CDMA(19),TDMA(27),WLAN(1),IEEE(1),MIMO(2),SDR(2)
7809330,RSSI(2),SNR(2),SINR(2)
7869397,OFDM(7),MAC(12),FFT(4)
7903537
7907508,EQU(3)
7916624,DFT(2),IDFT(2)
7916625
7924699,DFT(4),IDFT(4),OFDM(4)
7924841,SNR(16)
7929416,OFDM(38)
7933244,OFDMA(3)
7944851,NAV(4),ASIC(4)
7952990,EQU(8),OFDM(6)
7961672,OFDMA(14),CQI(181),CWI(1)
7983172,IEEE(2),OFDM(2)

FIR, finite impulse response
FPGA, field programmable gate array
ASIC, application specific integrated circuit
OFDM, orthogonal frequency digitally multiplexed
NAV, Network Allocation Vector
GPS, Global Positioning System
CDMA, Code Division Multiple Access
TDMA, Time Division Multiple Access
MIMO, Multiple Input Multiple Output
SDR, Software Defined Radio
RFID, received Radio Frequency Identification
WLAN, Wireless Local Area Network
RSSI, Received Signal Strength Indicator
SNR, Signal Noise Ratio
SINR, Signal Interference Noise Ratio
MAC, medium access control
FFT, Fast Fourier Transform
DFT, discrete Fourier transform
IDFT, inverse discrete Fourier transform
CQI, channel quality indicator
IEEE, Institute Electrical Electronics Engineers
